iter	Passed	Remaining
0	5	5196
1	9	4729
2	13	4484
3	18	4441
4	23	4474
5	27	4476
6	31	4406
7	36	4416
8	40	4376
9	44	4329
10	49	4333
11	54	4405
12	59	4365
13	63	4337
14	70	4529
15	77	4666
16	83	4709
17	88	4690
18	93	4683
19	98	4690
20	102	4652
21	106	4611
22	110	4583
23	115	4586
24	120	4561
25	124	4529
26	129	4531
27	133	4514
28	138	4500
29	143	4502
30	147	4493
31	152	4489
32	157	4490
33	163	4512
34	168	4523
35	173	4526
36	178	4532
37	184	4532
38	188	4515
39	193	4511
40	197	4491
41	202	4483
42	207	4502
43	212	4484
44	216	4478
45	221	4470
46	226	4469
47	231	4472
48	236	4463
49	241	4461
50	245	4449
51	250	4439
52	255	4433
53	259	4424
54	263	4409
55	268	4396
56	273	4392
57	277	4378
58	281	4362
59	285	4347
60	290	4345
61	294	4337
62	299	4328
63	304	4328
64	308	4319
65	313	4309
66	317	4304
67	322	4295
68	326	4283
69	330	4274
70	336	4279
71	341	4278
72	347	4282
73	352	4285
74	357	4281
75	361	4275
76	367	4276
77	371	4264
78	375	4255
79	380	4247
80	385	4248
81	389	4241
82	394	4235
83	399	4231
84	403	4223
85	408	4217
86	413	4213
87	417	4206
88	422	4199
89	426	4192
90	431	4188
91	436	4181
92	440	4174
93	445	4171
94	450	4164
95	454	4160
96	459	4151
97	464	4152
98	469	4149
99	475	4154
100	480	4149
101	485	4146
102	491	4160
103	498	4167
104	503	4167
105	508	4165
106	513	4158
107	517	4152
108	522	4144
109	527	4141
110	531	4133
111	536	4126
112	540	4121
113	545	4113
114	549	4105
115	554	4099
116	559	4100
117	564	4095
118	569	4091
119	575	4095
120	579	4087
121	584	4082
122	591	4095
123	598	4102
124	603	4101
125	608	4094
126	612	4086
127	617	4081
128	622	4077
129	626	4069
130	631	4065
131	637	4068
132	642	4060
133	647	4056
134	652	4056
135	657	4050
136	661	4043
137	667	4042
138	672	4037
139	677	4036
140	682	4032
141	687	4027
142	692	4021
143	696	4017
144	701	4013
145	706	4008
146	712	4007
147	717	4003
148	721	3997
149	726	3990
150	731	3987
151	736	3981
152	740	3975
153	746	3973
154	750	3967
155	755	3959
156	759	3952
157	765	3954
158	770	3948
159	775	3945
160	780	3943
161	787	3946
162	792	3942
163	797	3937
164	801	3932
165	807	3928
166	812	3925
167	816	3919
168	821	3914
169	828	3917
170	833	3915
171	838	3911
172	844	3909
173	849	3903
174	854	3899
175	859	3896
176	864	3891
177	868	3885
178	874	3883
179	879	3881
180	885	3880
181	891	3881
182	898	3885
183	905	3886
184	910	3883
185	915	3878
186	921	3877
187	926	3875
188	934	3880
189	939	3876
190	944	3871
191	949	3867
192	954	3864
193	959	3859
194	964	3854
195	970	3850
196	974	3845
197	979	3839
198	983	3830
199	988	3826
200	993	3820
201	998	3815
202	1003	3809
203	1007	3804
204	1012	3796
205	1017	3793
206	1021	3786
207	1026	3780
208	1031	3777
209	1036	3772
210	1041	3765
211	1048	3767
212	1053	3763
213	1058	3759
214	1065	3761
215	1069	3754
216	1074	3748
217	1079	3743
218	1084	3738
219	1089	3733
220	1094	3729
221	1099	3724
222	1104	3719
223	1110	3716
224	1114	3711
225	1119	3704
226	1123	3697
227	1128	3692
228	1133	3686
229	1138	3681
230	1143	3678
231	1148	3674
232	1153	3668
233	1158	3662
234	1162	3656
235	1167	3650
236	1173	3647
237	1177	3642
238	1182	3637
239	1187	3632
240	1192	3627
241	1198	3624
242	1203	3619
243	1207	3613
244	1211	3605
245	1215	3598
246	1221	3594
247	1225	3587
248	1229	3580
249	1235	3577
250	1239	3571
251	1244	3564
252	1248	3558
253	1253	3553
254	1257	3545
255	1261	3539
256	1267	3537
257	1272	3530
258	1276	3524
259	1280	3517
260	1285	3511
261	1289	3505
262	1294	3499
263	1299	3494
264	1303	3488
265	1308	3482
266	1313	3479
267	1319	3475
268	1323	3469
269	1332	3474
270	1338	3470
271	1343	3466
272	1348	3462
273	1353	3456
274	1357	3451
275	1362	3446
276	1367	3439
277	1371	3434
278	1375	3427
279	1381	3422
280	1385	3417
281	1390	3412
282	1395	3407
283	1400	3401
284	1404	3394
285	1409	3390
286	1413	3384
287	1418	3378
288	1423	3373
289	1428	3369
290	1432	3363
291	1437	3357
292	1442	3352
293	1447	3347
294	1452	3342
295	1457	3337
296	1462	3334
297	1468	3330
298	1472	3325
299	1477	3318
300	1481	3312
301	1485	3306
302	1490	3301
303	1495	3295
304	1499	3289
305	1504	3285
306	1509	3279
307	1513	3273
308	1518	3267
309	1523	3262
310	1527	3256
311	1532	3251
312	1538	3249
313	1543	3243
314	1547	3238
315	1552	3233
316	1557	3228
317	1562	3222
318	1566	3216
319	1571	3211
320	1575	3205
321	1580	3199
322	1585	3195
323	1589	3189
324	1596	3187
325	1601	3183
326	1606	3177
327	1611	3173
328	1617	3170
329	1622	3165
330	1626	3160
331	1632	3156
332	1637	3151
333	1641	3146
334	1647	3141
335	1651	3136
336	1655	3130
337	1660	3124
338	1665	3120
339	1669	3114
340	1674	3107
341	1679	3103
342	1683	3097
343	1688	3092
344	1693	3087
345	1697	3081
346	1702	3075
347	1706	3070
348	1711	3065
349	1715	3059
350	1720	3053
351	1726	3051
352	1731	3045
353	1736	3040
354	1740	3035
355	1745	3029
356	1749	3023
357	1753	3017
358	1758	3012
359	1763	3007
360	1767	3001
361	1772	2995
362	1777	2991
363	1781	2985
364	1786	2980
365	1791	2976
366	1796	2970
367	1800	2965
368	1805	2960
369	1810	2955
370	1814	2949
371	1818	2943
372	1823	2938
373	1829	2934
374	1833	2929
375	1838	2924
376	1843	2919
377	1848	2914
378	1852	2908
379	1858	2905
380	1864	2901
381	1868	2896
382	1874	2892
383	1879	2887
384	1885	2884
385	1889	2878
386	1894	2873
387	1899	2869
388	1904	2863
389	1908	2857
390	1913	2852
391	1919	2849
392	1923	2844
393	1928	2839
394	1934	2835
395	1939	2830
396	1944	2826
397	1952	2825
398	1957	2821
399	1963	2817
400	1968	2812
401	1973	2808
402	1979	2805
403	1984	2800
404	1990	2796
405	1996	2793
406	2000	2787
407	2005	2782
408	2010	2777
409	2015	2771
410	2020	2767
411	2024	2762
412	2029	2757
413	2034	2751
414	2038	2745
415	2043	2740
416	2048	2735
417	2052	2730
418	2056	2724
419	2061	2719
420	2066	2713
421	2070	2708
422	2075	2703
423	2079	2697
424	2083	2691
425	2088	2686
426	2093	2681
427	2097	2676
428	2102	2670
429	2107	2666
430	2111	2660
431	2116	2655
432	2135	2667
433	2140	2662
434	2145	2657
435	2150	2653
436	2156	2649
437	2161	2644
438	2166	2640
439	2182	2649
440	2189	2646
441	2209	2659
442	2214	2654
443	2219	2649
444	2224	2644
445	2228	2638
446	2234	2634
447	2240	2630
448	2245	2625
449	2252	2622
450	2259	2620
451	2265	2616
452	2272	2613
453	2277	2608
454	2284	2606
455	2290	2602
456	2296	2598
457	2304	2596
458	2310	2592
459	2319	2591
460	2325	2587
461	2333	2586
462	2339	2582
463	2348	2580
464	2377	2602
465	2397	2613
466	2415	2622
467	2431	2628
468	2446	2634
469	2463	2641
470	2471	2639
471	2480	2637
472	2487	2634
473	2504	2641
474	2512	2639
475	2518	2635
476	2525	2631
477	2531	2627
478	2538	2623
479	2544	2619
480	2550	2614
481	2556	2609
482	2562	2605
483	2568	2599
484	2573	2594
485	2578	2588
486	2583	2583
487	2592	2581
488	2604	2583
489	2610	2578
490	2615	2572
491	2622	2569
492	2628	2564
493	2634	2560
494	2639	2554
495	2644	2548
496	2650	2544
497	2656	2539
498	2662	2534
499	2668	2529
500	2673	2524
501	2678	2518
502	2684	2513
503	2689	2508
504	2698	2505
505	2703	2500
506	2708	2495
507	2714	2489
508	2720	2485
509	2727	2481
510	2734	2477
511	2740	2472
512	2746	2467
513	2751	2462
514	2756	2456
515	2761	2451
516	2767	2446
